Date,ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume,VOLUME
2020-01-14,PK0066301018,MARI,Mari Petroleum Company Ltd. ,1374.2,2.67,26680500,36664343100.0,133402500,183321715500.0,58500.0,
2020-01-14,PK0055601014,MCB,MCB Bank Limited. ,220.71,6.67,414771002,91544107851.42,1185060006,261554593924.26,406500.0,
2020-01-14,PK0077401013,MEBL,Meezan Bank Limited. ,101.89,2.39,321527906,32760478342.34,1286111589,131041909803.21,263000.0,
2020-01-14,PK0066201010,MLCF,Maple Leaf Cement Factory Ltd. ,22.84,0.44,267165300,6102055452.0,1098346232,25086227938.88,8020000.0,
2020-01-14,PK0009801017,MTL,Millat Tractors Limited. ,727.49,1.19,22423101,16312581746.49,49829112,36250180688.88,26850.0,
2020-01-14,PK0078001010,NBP,National Bank Of Pakistan. ,44.63,1.65,506885758,22622311379.54,2127512862,94950899031.06,1904500.0,
2020-01-14,PK0005501017,NML,Nishat Mills Ltd. ,113.16,1.3,158219932,17904167505.12,351599848,39787038799.68,1525000.0,
2020-01-14,PK0080201012,OGDC,Oil & Gas Development Company Ltd. ,151.45,7.12,645139260,97706340927.0,4300928400,651375606180.0,1177500.0,
2020-01-14,PK0034601010,PAEL,Pak Elektron Ltd. ,28.26,0.51,248840743,7032239397.18,497681485,14064478766.1,6063000.0,
2020-01-14,PK0078701015,BAFL,Bank Alfalah Ltd. ,52.96,2.74,710866048,37647465902.08,1777165119,94118664702.24,320500.0,
2020-01-14,PK0051601018,BAHL,Bank Al-Habib Ltd. ,82.0,4.32,722426520,59238974640.0,1111425419,91136884358.0,308500.0,
2020-01-14,PK0045001010,BOP,Bank Of Punjab. ,13.38,1.09,1115934411,14931202419.18,2643692380,35372604044.4,18020500.0,
2020-01-14,PK0008901016,SNGP,Sui Northern Gas Pipe Line Ltd. ,80.69,1.68,285397499,23028724194.31,634216666,51174942779.54,2387500.0,
2020-01-14,PK0079201015,TRG,TRG Pakistan Ltd. ,28.32,1.12,541806765,15343967584.8,545390665,15445463632.8,16478500.0,
2020-01-14,PK0081901016,UBL,United Bank Ltd. ,181.84,6.49,489671875,89041933750.0,1224179688,222604834465.92,1398800.0,
2020-01-15,PK0023901017,POL,Pakistan Oilfields Limited. ,460.86,4.39,130069270,59943723772.2,283855104,130817463229.44,79300.0,
2020-01-15,PK0081801018,PPL,Pakistan Petroleum Limited. ,148.16,7.23,666090089,98687907586.24,2720967548,403138551911.68,1054400.0,
2020-01-15,PK0022501016,PSO,Pakistan State Oil Co Ltd. ,213.78,3.31,211262985,45163800933.3,469473300,100364002074.0,2018200.0,
2020-01-15,PK0061701014,SEARL,The Searle Company Ltd. ,189.57,1.33,95591360,18121254115.2,212425272,40269458813.04,241600.0,
