symbol,cur_weight,mom_30,mom_60,mom_90,vol_30,vol_60,avg_volume,mkt_cap_proxy,price_to_ma20,price_to_ma50,wt_drift,wt_range,pred_weight_ridge,pred_weight_rf,pred_retention_prob_logit,pred_retention_prob_rf,pred_retained_logit,pred_retained_rf,avg_retention_prob,risk_of_exclusion
MLCF,1.104535907936005,0.17463258027843942,0.1872776381257122,0.21511528778286182,0.38414955497970227,0.32215502762621995,1108292.0964285715,128730406.95025,0.01990991709183665,0.13160443487221207,0.13050558690529201,0.23202613687723406,1.167200413283092,0.6134205251138334,0.8261395200168808,0.8545090477581426,1,1,0.8403242838875118,0.1596757161124882
FCCL,1.566183060293287,0.1312036856153448,0.21306471209566474,0.20549629019719892,0.48767444452576464,0.3763427159383898,1108292.0964285715,128730406.95025,0.029042797061424874,0.1302806569545667,0.11561548312468695,0.22890655048722786,1.4237880038969846,1.1806549345887476,0.8207413142720716,0.9411264819090701,1,1,0.8809338980905709,0.11906610190942912
MTL,2.003291894157856,0.014405167847573305,0.017258034608087003,0.026170114127860102,0.21301221814947205,0.16157546899851052,1108292.0964285715,128730406.95025,0.0008850592570739391,0.007379779453493551,-0.05286336055564789,0.14683697527222983,2.109175540728998,1.560002743957486,0.8620355523567825,0.9820272818875173,1,1,0.92203141712215,0.07796858287785002
NBP,1.492273021778756,0.20717966902063178,0.37025546836347273,0.5186786793857389,0.4080499243071692,0.40100420044628465,1108292.0964285715,128730406.95025,0.13833175301703915,0.28878921719679096,0.4298556186472662,0.44372817969412415,1.543423348685042,1.0582080692351132,0.916265802601234,0.9299807106091704,1,1,0.9231232566052022,0.07687674339479778
POL,2.845059346735276,0.05792635124025921,0.12136938052254823,0.22867088735853267,0.11432928659763503,0.1579566863360971,1108292.0964285715,128730406.95025,0.028650552052378542,0.06855786177372813,0.0310682455992346,0.11528381391273612,3.003385153201341,3.2436057481091223,0.942993219103042,0.9554933408462771,1,1,0.9492432799746595,0.050756720025340485
UBL,7.507065264678599,-0.0310770962084027,0.0004959087629525932,-0.35242973136155864,0.1589543267719921,0.17047746888309948,1108292.0964285715,128730406.95025,-0.04427714014952089,-0.01824093523732473,-0.8033112326850826,1.0033021640715223,7.729822367765758,6.909769844863379,0.9987000319865055,0.9110600305560601,1,1,0.9548800312712828,0.04511996872871715
PSO,3.457766003382162,0.019546349270423907,0.0935650103450474,0.11366402909082797,0.16406855391320052,0.25314916998714815,1108292.0964285715,128730406.95025,0.01531033278359284,0.035938362696380954,-0.046827447701538016,0.10244681546762813,3.3615518783005496,3.6864051530574193,0.9538873171508299,0.9616608651292944,1,1,0.9577740911400621,0.04222590885993793
PPL,4.871407176694606,0.05354499280986555,0.14675639575870164,0.12401577262878709,0.22131419309381808,0.29881881687403905,1108292.0964285715,128730406.95025,0.03447804787418618,0.06909743125213885,-0.0341556296618819,0.18465404899985982,4.641316451128648,4.885396095708058,0.983654385968678,0.9536858098565173,1,1,0.9686700979125977,0.03132990208740227
BAHL,4.429272542306498,0.0548037920406737,0.11260947413706099,0.2056912833450981,0.4781100963278431,0.36899785515475264,1108292.0964285715,128730406.95025,-0.020182266504858215,0.057391900113335614,-0.10794164694253983,0.6436549201925024,4.620620291654628,4.802948971880349,0.9900576307925463,0.9612629503200015,1,1,0.9756602905562739,0.0243397094437261
SYS,3.660236238466672,0.0003651100847453986,0.1611841911293258,0.29204777332374326,0.2295988461803524,0.35937133061600796,1108292.0964285715,128730406.95025,-0.0019273579165586252,0.05024007459104518,-0.13935251255523395,0.34203794379815333,3.8293170917565407,3.9440423761186683,0.9791719092203927,0.9738697292465968,1,1,0.9765208192334947,0.023479180766505348
HBL,3.543019730548599,-0.06561150219327662,0.17199876448681936,0.45174032570021966,0.21694155192324888,0.3816194305154058,1108292.0964285715,128730406.95025,-0.016159750456971822,0.05647277835798592,-0.44746203227473114,0.4597887067026223,3.9196065854899094,3.872086585027981,0.9829816499386911,0.973125787346769,1,1,0.97805371864273,0.021946281357269948
EFERT,5.117963057927469,0.03264574098425729,0.0842853723560965,0.16431965191512812,0.21094965850798794,0.32826650904828075,1108292.0964285715,128730406.95025,0.029491283729788265,0.03867638041993149,-0.0771393004496419,0.21448005319595875,5.012624950478269,4.895103719271628,0.9903125136822516,0.9702809088774803,1,1,0.980296711279866,0.01970328872013405
MARI,6.180480415906279,0.0586988335527886,0.06869606952587991,0.056623361109653686,0.18802173062105326,0.2637586147640969,1108292.0964285715,128730406.95025,0.043606891290626226,0.05872510483539206,0.06304099120352635,0.2278017868652844,5.840957904653658,6.07262133897061,0.9948214231403045,0.9707149613721741,1,1,0.9827681922562392,0.017231807743760763
ENGROH,7.188080219661408,0.07742632508276762,0.1746069818510794,0.28169364912804523,0.3710378842974142,0.33993239486573973,1108292.0964285715,128730406.95025,0.04467748503073965,0.10504285542132363,0.23950415094647148,0.6612528734995067,7.181337310731754,7.06024547644964,0.9990187913488311,0.9706059736973368,1,1,0.9848123825230839,0.015187617476916104
MEBL,4.322133669383236,0.026806685331733665,0.12452661829109507,0.27022634052420486,0.29575371985851173,0.24468234589152782,1108292.0964285715,128730406.95025,0.0076329787565585505,0.06526153534723056,-0.3087306316220326,0.6528166873585954,4.83392636536087,4.780384982611812,0.9902219034337026,0.9803639472425634,1,1,0.9852929253381331,0.014707074661866937
OGDC,5.655586151242649,0.018862789539508998,0.1761221121737869,0.2278917070995515,0.15666981571875302,0.30460714815262335,1108292.0964285715,128730406.95025,0.004335178755747293,0.06939262271757918,-0.13198788090065694,0.26786922130643376,5.502163716718728,5.418993453742943,0.9936291325429893,0.9783711635552601,1,1,0.9860001480491247,0.013999851950875275
HUBC,5.087950499560326,0.190784230712688,0.2781562186842539,0.3387636656000883,0.3846873223573523,0.3368328082491428,1108292.0964285715,128730406.95025,0.11025122725960146,0.2006115474548833,0.6961947517526683,0.8796376987761221,5.4033297700100205,5.103011935976593,0.9975635456103462,0.9746059736973368,1,1,0.9860847596538416,0.01391524034615843
MCB,4.636821904040252,-0.026240859063851804,0.019062413350795095,0.21930488395937978,0.19024339508781196,0.1838515299011132,1108292.0964285715,128730406.95025,-0.008753669677575626,0.0018683537120067761,-0.15152604507184542,0.2917773137266346,4.837173727666065,4.7643832602785565,0.9879552680527577,0.9868933838823554,1,1,0.9874243259675566,0.012575674032443418
LUCK,5.196746610251562,0.1843524258465216,0.3047190568016049,0.33012340937584855,0.2877876538979745,0.26213805863139544,1108292.0964285715,128730406.95025,0.07350292673705328,0.20144872159997895,0.6170217828113795,0.6226182729473217,5.247597264430554,5.0502967967653705,0.9960854811036663,0.9851774022687654,1,1,0.9906314416862159,0.009368558313784137
FFC,13.34133079085459,0.010480013157996095,0.01999772899131971,0.1686478240282864,0.1467897971119392,0.2114141993784379,1108292.0964285715,128730406.95025,0.008502520748655096,0.006498024562703764,-0.40024348276593,0.4484808636063313,12.977852603446298,6.759183573018634,0.9999840342970664,0.9864015806036668,1,1,0.9931928074503666,0.006807192549633356
