as_of_date,trading_date,symbol,company,closing_price,free_float_shares,ord_shares,free_float_pct,free_float_market_cap,avg_volume_6m,trading_days_ratio,listing_days_in_sample,is_defaulter_unknown,is_suspended_unknown,is_cdc_eligible_unknown,impact_cost_avg_6m_unknown,elig_listing_age,elig_free_float_min,elig_trading_ratio,elig_defaulter,elig_suspension,elig_cdc,elig_impact_cost,eligible,score_ff_mcap,score_liquidity_proxy,final_score,rank,is_constituent
2022-06-30,2022-06-30,UBL,United Bank Limited,113.13,489671875.0,489671875.0,1.0,55396579218.75,956663.9918699187,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6517021183820078,0.11053179828976488,0.3811169583358863,9.0,True
2022-06-30,2022-06-30,UNITY,Unity Foods Limited.,20.07,477620000.0,477620000.0,1.0,9585833400.0,7098597.430894309,1.0,182,,,,,True,True,True,True,True,True,True,True,0.039727193302018224,0.8424601580669102,0.4410936756844642,7.0,True
2022-12-31,2022-12-30,ATRL,Attock Refinery Limited,143.56,42646500.0,42646500.0,1.0,6122331540.0,1648918.105691057,1.0,182,,,,,True,True,True,True,True,True,True,True,0.05308579177770711,0.20777502983486834,0.13043041080628773,26.0,True
2022-12-31,2022-12-30,AVN,Avanceon Limited.,66.03,97410189.0,97410189.0,1.0,6431994779.67,2237942.8455284555,1.0,182,,,,,True,True,True,True,True,True,True,True,0.05689855902592273,0.2832490912222624,0.17007382512409255,24.0,True
2022-12-31,2022-12-30,BAHL,Bank Al-Habib Ltd.,55.28,722426520.0,722426520.0,1.0,39935738025.6,303113.8617886179,1.0,182,,,,,True,True,True,True,True,True,True,True,0.4694175750926617,0.035331827962316015,0.25237470152748886,17.0,True
2022-12-31,2022-12-30,DGKC,D. G. Khan Cement Co. Ltd.,51.64,219059559.0,219059559.0,1.0,11312235626.76,1769416.219512195,1.0,182,,,,,True,True,True,True,True,True,True,True,0.11698713293937152,0.223214928067517,0.17010103050344427,23.0,True
2022-12-31,2022-12-30,EFERT,Engro Fertilizers Limited,76.89,600884719.0,600884719.0,1.0,46202026043.91,1254389.8699186991,1.0,182,,,,,True,True,True,True,True,True,True,True,0.546572027618442,0.1572225720655001,0.35189729984197105,9.0,True
2022-12-31,2022-12-30,ENGRO,Engro Corporation Limited.,262.01,316889777.0,316889777.0,1.0,83028290471.77,464814.34959349595,1.0,182,,,,,True,True,True,True,True,True,True,True,1.0,0.05605114876083786,0.528025574380419,3.0,True
2022-12-31,2022-12-30,EPCL,Engro Polymer & Chemicals Ltd.,42.32,318123167.0,318123167.0,1.0,13462972427.44,1853243.8780487804,1.0,182,,,,,True,True,True,True,True,True,True,True,0.14346834795831775,0.23395609633847667,0.18871222214839722,21.0,True
2022-12-31,2022-12-30,FFC,Fauji Fertilizer Company Limited,98.71,699731036.0,699731036.0,1.0,69070450563.56,533155.4796747967,1.0,182,,,,,True,True,True,True,True,True,True,True,0.8281423558231418,0.06480796710511291,0.44647516146412736,6.0,True
2022-12-31,2022-12-30,GGL,Ghani Global Holdings Limited.,11.25,160963450.0,177059795.0,0.9090909090909091,1810838812.5,4170790.8943089433,1.0,182,,,,,True,True,True,True,True,True,True,True,0.0,0.5309125294785805,0.26545626473929024,16.0,True
2022-12-31,2022-12-30,HBL,Habib Bank Limited,63.73,733426254.0,733426254.0,1.0,46741255167.42,1097052.0081300812,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5532113534344281,0.13706225173248052,0.3451368025834543,10.0,True
2022-12-31,2022-12-30,HUBC,The Hub Power Company Limited,63.08,972865790.0,972865790.0,1.0,61368374033.2,2630259.8780487804,1.0,182,,,,,True,True,True,True,True,True,True,True,0.7333095782241551,0.3335182188041244,0.5334138985141398,2.0,True
2022-12-31,2022-12-30,KAPCO,Kot Addu Power Company.,26.65,456121621.0,456121621.0,1.0,12155641199.65,1904683.5772357723,1.0,182,,,,,True,True,True,True,True,True,True,True,0.12737166921401755,0.2405472677301229,0.18395946847207023,22.0,True
2022-12-31,2022-12-30,LUCK,Lucky Cement Limited.,446.58,113181250.0,113181250.0,1.0,50544482625.0,518060.8455284553,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6000390657041458,0.06287383214077216,0.33145644892245896,11.0,True
2022-12-31,2022-12-30,MARI,Mari Petroleum Company Ltd.,1546.96,26680500.0,26680500.0,1.0,41273666280.0,27372.49593495935,1.0,182,,,,,True,True,True,True,True,True,True,True,0.48589098354203025,0.0,0.24294549177101513,19.0,True
2022-12-31,2022-12-30,MCB,MCB Bank Limited,116.16,414771002.0,414771002.0,1.0,48179799592.32,326445.837398374,1.0,182,,,,,True,True,True,True,True,True,True,True,0.570923611028216,0.038321445953482275,0.30462252849084914,15.0,True
