symbol,cur_weight,mom_30,mom_60,mom_90,vol_30,vol_60,avg_volume,mkt_cap_proxy,price_to_ma20,price_to_ma50,wt_drift,wt_range,pred_weight_ridge,pred_weight_rf,pred_retention_prob_logit,pred_retention_prob_rf,pred_retained_logit,pred_retained_rf,avg_retention_prob,risk_of_exclusion
POL,2.84505934673527,0.05792635124025921,0.12136938052254823,0.22867088735853267,0.11432928659763503,0.1579566863360971,231014.4,157373939.712,0.028650552052378542,0.06855786177372813,0.03106824559923016,0.11528381391274012,2.9808904980075974,3.266283747980416,0.9583778555677785,0.9685005915394078,1,1,0.9634392235535931,0.03656077644640687
BAHL,4.42927254230649,0.0548037920406737,0.11260947413706099,0.2056912833450981,0.4781100963278431,0.36899785515475264,734675.8,139691256.612,-0.020182266504858215,0.057391900113335614,-0.10794164694254071,0.6436549201925006,4.636928338523426,4.7926577860741695,0.989848631711694,0.9543120965833666,1,1,0.9720803641475303,0.027919635852469704
NBP,1.49227302177875,0.20717966902063178,0.37025546836347273,0.5186786793857389,0.4080499243071692,0.40100420044628465,10318728.85,1864387928.618,0.13833175301703915,0.28878921719679096,0.42985561864726973,0.4437281796941299,1.3138593903330387,1.1488631261477427,0.9962659785937568,0.9490165349068412,1,1,0.972641256750299,0.027358743249701
PPL,4.8714071766946,0.05354499280986555,0.14675639575870164,0.12401577262878709,0.22131419309381808,0.29881881687403905,8719341.8,1650658596.1580002,0.03447804787418618,0.06909743125213885,-0.03415562966187968,0.18465404899985982,4.407947229251676,4.8720806177346345,0.9990253890183534,0.9491854464773474,1,1,0.9741054177478503,0.02589458225214969
PSO,3.45776600338216,0.019546349270423907,0.0935650103450474,0.11366402909082797,0.16406855391320052,0.25314916998714815,4258574.55,1757854402.7489998,0.01531033278359284,0.035938362696380954,-0.04682744770153979,0.1024468154676299,2.905268019120345,3.617562297668284,0.9980484296259672,0.955419021827395,1,1,0.976733725726681,0.023266274273318954
SYS,3.66023623846667,0.0003651100847453986,0.1611841911293258,0.29204777332374326,0.2295988461803524,0.35937133061600796,3895821.3,533610643.46099997,-0.0019273579165586252,0.05024007459104518,-0.13935251255522996,0.3420379437981502,3.8108934854769974,3.7986813403722444,0.9916471898698159,0.9705489822161915,1,1,0.9810980860430036,0.018901913956996363
OGDC,5.65558615124264,0.018862789539508998,0.1761221121737869,0.2278917070995515,0.15666981571875302,0.30460714815262335,6726958.7,1799999608.9459999,0.004335178755747293,0.06939262271757918,-0.1319878809006596,0.2678692213064302,5.136054004144781,5.368104354539302,0.999753394334945,0.9661653764551663,1,1,0.9829593853950557,0.017040614604944326
EFERT,5.11796305792746,0.03264574098425729,0.0842853723560965,0.16431965191512812,0.21094965850798794,0.32826650904828075,1514043.0,325731211.02,0.029491283729788265,0.03867638041993149,-0.07713930044963968,0.21448005319596009,4.967639317280549,4.913360022266759,0.993808092741445,0.9767027211666488,1,1,0.9852554069540469,0.014744593045953103
HBL,3.54301973054859,-0.06561150219327662,0.17199876448681936,0.45174032570021966,0.21694155192324888,0.3816194305154058,1892942.9,485994160.14599997,-0.016159750456971822,0.05647277835798614,-0.44746203227473025,0.4597887067026205,3.8444588775425963,3.808038924849197,0.9939545974421939,0.9790314482012856,1,1,0.9864930228217398,0.013506977178260215
MEBL,4.32213366938323,0.026806685331733665,0.12452661829109507,0.27022634052420486,0.29575371985851173,0.24468234589152782,1646355.45,665374555.1175,0.0076329787565585505,0.06526153534723056,-0.30873063162202996,0.6528166873585999,4.691937764701667,4.8295400929459715,0.9970478974460553,0.979221999749254,1,1,0.9881349485976546,0.011865051402345395
HUBC,5.08795049956032,0.190784230712688,0.2781562186842539,0.3387636656000883,0.3846873223573523,0.3368328082491428,8200218.0,1576409908.3200002,0.11025122725960146,0.2006115474548833,0.6961947517526701,0.8796376987761194,5.1728060018367525,5.031841026072356,0.9998054444214084,0.9769594825788606,1,1,0.9883824635001345,0.011617536499865522
ENGROH,7.1880802196614,0.07742632508276762,0.1746069818510794,0.28169364912804523,0.3710378842974142,0.33993239486573973,3360736.9,788932987.275,0.04467748503073965,0.10504285542132363,0.2395041509464697,0.6612528734995102,7.049443266599989,7.023620262537958,0.9996957581127434,0.9791817048010829,1,1,0.9894387314569131,0.010561268543086921
MCB,4.63682190404025,-0.026240859063851804,0.019062413350795095,0.21930488395937978,0.19024339508781196,0.1838515299011132,562227.35,197712869.901,-0.008753669677575737,0.0018683537120067761,-0.15152604507184986,0.29177731372663995,4.819312374117189,4.805661404432425,0.9923091576078505,0.9869893170091085,1,1,0.9896492373084795,0.010350762691520465
FFC,13.3413307908545,0.010480013157996095,0.01999772899131971,0.1686478240282864,0.1467897971119392,0.2114141993784379,2281349.4,1019740368.306,0.008502520748655096,0.006498024562703764,-0.4002434827659016,0.44848086360630113,12.733087402100285,6.748498392869689,0.9999973644392008,0.9824219997492538,1,1,0.9912096820942273,0.008790317905772671
MARI,6.18048041590627,0.0586988335527886,0.06869606952587991,0.056623361109653686,0.18802173062105326,0.2637586147640969,1820918.5,1226843839.375,0.043606891290626226,0.05872510483539206,0.06304099120351925,0.22780178686529062,5.473987278122238,5.843728377907579,0.9993362874937352,0.986293937643078,1,1,0.9928151125684066,0.007184887431593401
LUCK,5.19674661025156,0.1843524258465216,0.3047190568016049,0.33012340937584855,0.2877876538979745,0.26213805863139544,2555137.3,1211569453.541,0.07350292673705328,0.20144872159997895,0.6170217828113795,0.6226182729473297,4.927215264952302,4.982065338436901,0.9994429041239029,0.9865969679461084,1,1,0.9930199360350056,0.0069800639649943985
