Date,SYMBOL,ISIN,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,VOLUME,ret_21d,wt_rank,vol_63d,turn_63d,next_weight,stay_next,weight_change_next,next_rebalance_date,NAV_AKD,AUM_AKD,FLOW_AKD,NAV_NBP,AUM_NBP,FLOW_NBP,NAV_NTI,AUM_NTI,FLOW_NTI,NAV_TOTAL,AUM_TOTAL,FLOW_TOTAL,NAV_AKD_lag1,NAV_AKD_lag2,AUM_AKD_lag1,AUM_AKD_lag2,FLOW_AKD_lag1,FLOW_AKD_lag2,NAV_NBP_lag1,NAV_NBP_lag2,AUM_NBP_lag1,AUM_NBP_lag2,FLOW_NBP_lag1,FLOW_NBP_lag2,NAV_NTI_lag1,NAV_NTI_lag2,AUM_NTI_lag1,AUM_NTI_lag2,FLOW_NTI_lag1,FLOW_NTI_lag2,NAV_TOTAL_lag1,NAV_TOTAL_lag2,AUM_TOTAL_lag1,AUM_TOTAL_lag2,FLOW_TOTAL_lag1,FLOW_TOTAL_lag2,aum_nav_ratio,flow_to_aum
2020-03-31,OGDC,PK0080201012,Oil & Gas Development Company Limited,76.99,5.68,645139260,49669271627.4,645139260,49669271627.4,12716786.0,,6.0,0.029769862566235976,3724476.8253968256,5.69,1,0.010000000000000675,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,PAEL,PK0034601010,Pak Elektron Limited,18.57,0.53,248840743,4620972597.51,248840743,4620972597.51,2427500.0,,30.0,0.037732092364611565,4084301.587301587,0.7,1,0.16999999999999993,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,POL,PK0023901017,Pakistan Oilfields Limited,262.21,3.89,129759049,34024120238.29,129759049,34024120238.29,296421.0,,12.0,0.02906570895492908,411507.20634920633,4.66,1,0.77,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,PPL,PK0081801018,Pakistan Petroleum Limited.,71.81,5.47,666129798,47834780794.38,666129798,47834780794.38,4301000.0,,9.0,0.03242997213332637,3172826.111111111,5.22,1,-0.25,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,PSO,PK0022501016,Pakistan State Oil Co Ltd.,121.5,2.93,211262985,25668452677.5,211262985,25668452677.5,1425063.0,,13.0,0.033391954071502375,2374693.523809524,3.6,1,0.6699999999999999,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,SEARL,PK0061701014,The Searle Company Ltd.,156.85,1.71,95591360,14993504816.0,95591360,14993504816.0,369900.0,,17.0,0.033168635933171785,744347.619047619,2.09,1,0.3799999999999999,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,SNGP,PK0008901016,Sui Northern Gas Pipelines Limited,36.9,1.2,285397499,10531167713.1,285397499,10531167713.1,1684500.0,,22.0,0.03381298907849297,1657253.9682539683,1.5,1,0.30000000000000004,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,TRG,PK0079201015,TRG Pakistan Ltd.,13.91,0.74,463582065,6448426524.15,463582065,6448426524.15,5283500.0,,28.0,0.041016776653218234,8527769.841269841,2.06,1,1.32,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,UBL,PK0081901016,United Bank Limited,100.81,5.64,489671875,49363821718.75,489671875,49363821718.75,3221544.0,,7.0,0.03184598231306869,1316836.9206349207,4.8,1,-0.8399999999999999,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-09-30,ATRL,PK0024501014,Attock Refinery Limited,170.53,0.59,42646500,7272507645.0,42646500,7272507645.0,1333500.0,1.5678361692516187,31.0,0.0327350535766106,3345280.9523809524,0.85,1,0.26,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,BAFL,PK0078701015,Bank Alfalah Limited,34.78,2.11,710866048,24723921149.44,710866048,24723921149.44,611436.0,0.0933668657654827,15.0,0.01809356696626703,2765567.5714285714,1.78,1,-0.32999999999999985,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,BAHL,PK0051601018,Bank Al-Habib Ltd.,64.57,3.97,722426520,46647080396.4,722426520,46647080396.4,973565.0,0.19862632262855007,11.0,0.01349777547905832,633016.1746031746,3.66,1,-0.31000000000000005,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
2020-09-30,BOP,PK0045001010,Bank Of Punjab.,9.88,0.94,1115986617,11025947775.96,1115986617,11025947775.96,18815500.0,-0.03137254901960773,28.0,0.024962888706063176,14279571.42857143,0.8,1,-0.1399999999999999,2021-03-31,,,,,,,11.7573,56.46,-0.6543425739507498,11.7573,56.46,-0.6543425739507498,,,,,,,,,,,,,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,11.8799,11.6033,57.89,56.27,0.0029236143260007452,-0.3768875855666707,4.802122936388456,-0.011589489442981753
