Date,SYMBOL,COMPANY,PRICE,IDX WT %,VOLUME
2020-01-07,MCB,MCB Bank Limited,214.83,6.73,242400.0
2020-01-07,MEBL,Meezan Bank Limited,96.04,2.33,514000.0
2020-01-07,MLCF,Maple Leaf Cement Factory Ltd.,22.55,0.45,10637500.0
2020-01-07,MTL,Millat Tractors Limited,713.73,1.21,35950.0
2020-01-07,NBP,National Bank Of Pakistan.,43.07,1.65,1800000.0
2020-01-07,NML,Nishat Mills Ltd.,104.87,1.25,1015200.0
2020-01-07,OGDC,Oil & Gas Development Company Limited,149.01,7.26,2355100.0
2020-01-07,PAEL,Pak Elektron Limited,27.82,0.52,3503500.0
2020-01-07,POL,Pakistan Oilfields Limited,467.26,4.59,225500.0
2020-01-07,PPL,Pakistan Petroleum Limited.,140.4,7.06,1777200.0
2020-01-07,PSO,Pakistan State Oil Co Ltd.,209.67,3.34,6234800.0
2020-01-07,SEARL,The Searle Company Ltd.,189.07,1.36,686300.0
2020-01-07,SNGP,Sui Northern Gas Pipelines Limited,77.63,1.67,3499500.0
2020-01-07,TRG,TRG Pakistan Ltd.,27.59,1.13,12165500.0
2020-01-07,UBL,United Bank Limited,176.72,6.53,822000.0
2020-01-08,BAFL,Bank Alfalah Limited,47.89,2.61,1097500.0
2020-01-08,BAHL,Bank Al-Habib Ltd.,81.31,4.5,373500.0
2020-01-08,BOP,Bank Of Punjab.,11.81,1.01,38190000.0
2020-01-08,DGKC,D. G. Khan Cement Co. Ltd.,72.06,1.21,4406000.0
2020-01-08,EFERT,Engro Fertilizers Limited,72.84,3.35,848500.0
2020-01-08,ENGRO,Engro Corporation Limited.,347.41,8.43,912100.0
2020-01-08,EPCL,Engro Polymer & Chemicals Ltd.,32.03,0.78,2942500.0
2020-01-08,FCCL,Fauji Cement Company Limited,15.38,0.89,2449500.0
2020-01-08,FFC,Fauji Fertilizer Company Limited,98.88,5.3,628800.0
2020-01-08,HBL,Habib Bank Limited,160.55,9.01,3016100.0
2020-01-08,HUBC,The Hub Power Company Limited,95.03,7.08,2589500.0
2020-01-08,KAPCO,Kot Addu Power Company.,29.1,1.01,1772000.0
2020-01-08,LOTCHEM,Lotte Chemical Pakistan Ltd.,13.59,0.39,2277000.0
2020-01-08,LUCK,Lucky Cement Limited.,477.03,4.72,2834900.0
2020-01-08,MARI,Mari Petroleum Company Ltd.,1304.56,2.66,65840.0
2020-01-08,MCB,MCB Bank Limited,213.53,6.78,289700.0
2020-01-08,MEBL,Meezan Bank Limited,95.0,2.34,441500.0
2020-01-08,MLCF,Maple Leaf Cement Factory Ltd.,21.44,0.44,11457000.0
2020-01-08,MTL,Millat Tractors Limited,704.18,1.21,107300.0
2020-01-08,NBP,National Bank Of Pakistan.,41.36,1.6,4126000.0
2020-01-08,NML,Nishat Mills Ltd.,101.67,1.23,1417500.0
2020-01-08,OGDC,Oil & Gas Development Company Limited,147.96,7.31,2263600.0
2020-01-08,PAEL,Pak Elektron Limited,26.58,0.51,3821500.0
2020-01-08,POL,Pakistan Oilfields Limited,460.86,4.59,279700.0
2020-01-08,PPL,Pakistan Petroleum Limited.,137.07,6.99,1615400.0
2020-01-08,PSO,Pakistan State Oil Co Ltd.,207.62,3.36,8739800.0
2020-01-08,SEARL,The Searle Company Ltd.,182.75,1.34,693700.0
2020-01-08,SNGP,Sui Northern Gas Pipelines Limited,76.17,1.66,1714000.0
2020-01-08,TRG,TRG Pakistan Ltd.,26.59,1.1,11552000.0
2020-01-08,UBL,United Bank Limited,176.13,6.6,1140000.0
2020-01-09,BAFL,Bank Alfalah Limited,49.58,2.62,2794000.0
2020-01-09,BAHL,Bank Al-Habib Ltd.,81.44,4.37,968000.0
2020-01-09,BOP,Bank Of Punjab.,12.57,1.04,53074500.0
2020-01-09,DGKC,D. G. Khan Cement Co. Ltd.,75.66,1.23,3369000.0
2020-01-09,EFERT,Engro Fertilizers Limited,74.83,3.34,2745500.0
2020-01-09,ENGRO,Engro Corporation Limited.,354.19,8.33,2652500.0
2020-01-09,EPCL,Engro Polymer & Chemicals Ltd.,33.63,0.79,4564000.0
2020-01-09,FCCL,Fauji Cement Company Limited,16.16,0.91,3927500.0
2020-01-09,FFC,Fauji Fertilizer Company Limited,101.71,5.28,1521300.0
2020-01-09,HBL,Habib Bank Limited,168.07,9.15,2783200.0
2020-01-09,HUBC,The Hub Power Company Limited,98.68,7.13,3040500.0
2020-01-09,KAPCO,Kot Addu Power Company.,30.08,1.02,1710000.0
2020-01-09,LOTCHEM,Lotte Chemical Pakistan Ltd.,14.09,0.4,2900500.0
2020-01-09,LUCK,Lucky Cement Limited.,498.43,4.79,1361200.0
2020-01-09,MARI,Mari Petroleum Company Ltd.,1351.45,2.68,105260.0
2020-01-09,MCB,MCB Bank Limited,218.67,6.73,796500.0
2020-01-09,MEBL,Meezan Bank Limited,98.84,2.36,677000.0
2020-01-09,MLCF,Maple Leaf Cement Factory Ltd.,22.51,0.45,11789500.0
2020-01-09,MTL,Millat Tractors Limited,718.1,1.2,126750.0
2020-01-09,NBP,National Bank Of Pakistan.,43.41,1.63,5281000.0
2020-01-09,NML,Nishat Mills Ltd.,106.75,1.25,1016300.0
2020-01-09,OGDC,Oil & Gas Development Company Limited,148.56,7.12,3814500.0
2020-01-09,PAEL,Pak Elektron Limited,27.9,0.52,2478500.0
2020-01-09,POL,Pakistan Oilfields Limited,469.47,4.53,409900.0
2020-01-09,PPL,Pakistan Petroleum Limited.,142.04,7.03,3528900.0
2020-01-09,PSO,Pakistan State Oil Co Ltd.,216.85,3.4,5956100.0
2020-01-09,SEARL,The Searle Company Ltd.,190.35,1.35,788400.0
2020-01-09,SNGP,Sui Northern Gas Pipelines Limited,79.79,1.69,5586500.0
2020-01-09,TRG,TRG Pakistan Ltd.,27.91,1.12,11898500.0
2020-01-09,UBL,United Bank Limited,179.86,6.54,1812000.0
2020-01-10,BAFL,Bank Alfalah Limited,51.48,2.67,4125000.0
2020-01-10,BAHL,Bank Al-Habib Ltd.,81.65,4.3,2979500.0
2020-01-10,BOP,Bank Of Punjab.,13.33,1.08,52475000.0
2020-01-10,DGKC,D. G. Khan Cement Co. Ltd.,76.67,1.22,3605500.0
2020-01-10,EFERT,Engro Fertilizers Limited,74.94,3.28,1398000.0
2020-01-10,ENGRO,Engro Corporation Limited.,359.85,8.31,2225400.0
2020-01-10,EPCL,Engro Polymer & Chemicals Ltd.,35.31,0.82,13261000.0
2020-01-10,FCCL,Fauji Cement Company Limited,17.16,0.95,14149500.0
2020-01-10,FFC,Fauji Fertilizer Company Limited,103.05,5.25,1067200.0
2020-01-10,HBL,Habib Bank Limited,169.11,9.04,2040200.0
2020-01-10,HUBC,The Hub Power Company Limited,103.61,7.34,7482000.0
2020-01-10,KAPCO,Kot Addu Power Company.,29.71,0.99,3074500.0
2020-01-10,LOTCHEM,Lotte Chemical Pakistan Ltd.,14.44,0.4,6134500.0
2020-01-10,LUCK,Lucky Cement Limited.,493.7,4.65,694700.0
2020-01-10,MARI,Mari Petroleum Company Ltd.,1370.37,2.66,61320.0
2020-01-10,MCB,MCB Bank Limited,222.15,6.71,1079700.0
2020-01-10,MEBL,Meezan Bank Limited,101.77,2.38,885000.0
2020-01-10,MLCF,Maple Leaf Cement Factory Ltd.,22.84,0.44,12472500.0
2020-01-10,MTL,Millat Tractors Limited,722.68,1.18,42050.0
2020-01-10,NBP,National Bank Of Pakistan.,44.64,1.65,3845000.0
2020-01-10,NML,Nishat Mills Ltd.,109.39,1.26,1264500.0
2020-01-10,OGDC,Oil & Gas Development Company Limited,154.21,7.25,5412100.0
2020-01-10,PAEL,Pak Elektron Limited,28.0,0.51,14138000.0
2020-01-10,POL,Pakistan Oilfields Limited,468.44,4.44,602500.0
