as_of_date,trading_date,symbol,company,closing_price,current_weight_pct,free_float_shares,ord_shares,free_float_pct,free_float_market_cap,avg_volume_6m,trading_days_ratio,listing_days_in_sample,is_defaulter_unknown,is_suspended_unknown,is_cdc_eligible_unknown,impact_cost_avg_6m_unknown,elig_listing_age,elig_free_float_min,elig_trading_ratio,elig_defaulter,elig_suspension,elig_cdc,elig_impact_cost,eligible,score_ff_mcap,score_liquidity_proxy,final_score,rank,is_constituent,n_constituents
2022-06-30,2022-06-30,SEARL,The Searle Company Ltd.,109.02,1.42,140423707.0,140423707.0,1.0,15308992537.14,357937.69918699184,1.0,182,,,,,True,True,True,True,True,True,True,True,0.11618152342861025,0.03918215607865114,0.07768183975363069,25.0,True,26
2022-06-30,2022-06-30,NRL,National Refinary Ltd.,252.57,0.61,26178746.0,26178746.0,1.0,6611965877.22,700966.3983739837,1.0,182,,,,,True,True,True,True,True,True,True,True,0.0,0.08006055953987525,0.04003027976993762,26.0,True,26
2022-12-31,2022-12-30,TRG,TRG Pakistan Ltd.,108.42,4.19,381773466.0,381773466.0,1.0,41391879183.72,7831705.918699187,1.0,182,,,,,True,True,True,True,True,True,True,True,0.4873464946582364,1.0,0.7436732473291182,1.0,True,27
2022-12-31,2022-12-30,HUBC,The Hub Power Company Limited,63.08,6.22,972865790.0,972865790.0,1.0,61368374033.2,2630259.8780487804,1.0,182,,,,,True,True,True,True,True,True,True,True,0.7333095782241551,0.3335182188041244,0.5334138985141398,2.0,True,27
2022-12-31,2022-12-30,ENGRO,Engro Corporation Limited.,262.01,8.41,316889777.0,316889777.0,1.0,83028290471.77,464814.34959349595,1.0,182,,,,,True,True,True,True,True,True,True,True,1.0,0.05605114876083786,0.528025574380419,3.0,True,27
2022-12-31,2022-12-30,SYS,Systems Limited,483.93,8.19,167019120.0,167019120.0,1.0,80825562741.6,446019.26016260165,1.0,182,,,,,True,True,True,True,True,True,True,True,0.9728786401793169,0.05364285987660446,0.5132607500279607,4.0,True,27
2022-12-31,2022-12-30,OGDC,Oil & Gas Development Company Limited,79.66,5.21,645139260.0,645139260.0,1.0,51391793451.6,2369030.9024390243,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6104716859020154,0.30004592060018237,0.4552588032510989,5.0,True,27
2022-12-31,2022-12-30,FFC,Fauji Fertilizer Company Limited,98.71,7.0,699731036.0,699731036.0,1.0,69070450563.56,533155.4796747967,1.0,182,,,,,True,True,True,True,True,True,True,True,0.8281423558231418,0.06480796710511291,0.44647516146412736,6.0,True,27
2022-12-31,2022-12-30,UNITY,Unity Foods Limited.,14.12,0.68,477620000.0,477620000.0,1.0,6743994400.0,6508473.8373983735,1.0,182,,,,,True,True,True,True,True,True,True,True,0.060740093252321825,0.8304490582832972,0.4455945757678095,7.0,True,27
2022-12-31,2022-12-30,PPL,Pakistan Petroleum Limited.,68.14,4.61,667428226.0,667428226.0,1.0,45478559319.64,2186656.7317073173,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5376642533717795,0.27667759932885566,0.4071709263503176,8.0,True,27
2022-12-31,2022-12-30,EFERT,Engro Fertilizers Limited,76.89,4.68,600884719.0,600884719.0,1.0,46202026043.91,1254389.8699186991,1.0,182,,,,,True,True,True,True,True,True,True,True,0.546572027618442,0.1572225720655001,0.35189729984197105,9.0,True,27
2022-12-31,2022-12-30,HBL,Habib Bank Limited,63.73,4.73,733426254.0,733426254.0,1.0,46741255167.42,1097052.0081300812,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5532113534344281,0.13706225173248052,0.3451368025834543,10.0,True,27
