date,nav_start,nav_end,aum,aum_prev,nav_return_m,fund_flow,fund_flow_pct
2024-10-31,21.6842,23.5489,942.32,853.95,0.08599348834635356,14.935860626631325,0.01749032218119483
2024-11-30,24.0363,26.7007,1081.89,942.32,0.11084900754275817,35.11476321230816,0.03726415995872757
2024-12-31,26.6999,30.1691,1173.39,1081.89,0.12993307091037787,-49.07329008722877,-0.04535885356850398
2025-01-31,30.6442,29.7369,1149.26,1173.39,-0.02960756032136591,10.611215205487497,0.009043212576796713
2025-02-28,29.73,29.5671,1179.66,1149.26,-0.005479313824419796,36.69715620585271,0.03193111759380184
2025-03-31,29.5659,30.693,1224.49,1179.66,0.038121619839071474,-0.14055005935915688,-0.00011914454958136824
2025-04-30,30.6945,28.9599,1161.92,1224.49,-0.05651175291990418,6.628076332893443,0.005412928103041627
2025-05-31,28.9588,31.0472,1244.34,1161.92,0.07211624791082505,-1.3733107725458922,-0.0011819322952921819
2025-06-30,31.0459,30.723,1301.93,1244.34,-0.010400729242830753,70.53204342602407,0.05668229215971847
2025-07-31,31.3566,34.0187,1454.63,1301.93,0.08489759731603552,42.169271126334024,0.03238981444957411
2025-08-31,34.4216,36.1719,1601.86,1454.63,0.050848885583471004,73.2636855637154,0.050365856309656336
2025-09-30,36.4886,40.1877,1798.48,1601.86,0.10137686839177174,34.22844959795657,0.021367940767580546
2025-10-31,40.2258,39.3088,1751.85,1798.48,-0.022796314802937423,-5.631283753213211,-0.0031311350435997126
2025-11-30,39.3078,40.4729,1817.49,1751.85,0.029640427599611385,13.714416909620923,0.007828533784068798
2025-12-31,40.8031,42.199,2107.24,1817.49,0.03421063595658169,227.57251125527205,0.1252125245559932
2026-01-31,42.7459,44.5706,2107.24,2107.24,0.042687134906505664,-89.9520381603852,-0.04268713490650577
