date,idx_total_volume,idx_n_stocks,idx_ff_mcap_total,idx_log_return,idx_rolling_vol_30d,oil_price,oil_log_return,usdpkr,usdpkr_log_return,interest_rate,cpi_yoy
2024-05-10,116396863.0,30,1593183021846.54,0.001901774341402359,0.13708708129006286,82.79,-0.006861296854342182,279.08,0.00014333835042091965,22.0,17.3
2024-05-13,116013780.0,30,1606545813079.25,0.008352500858120183,0.13631592223044953,83.36,0.011825888997122056,278.77,-7.174115793319039e-05,22.0,17.3
2024-05-14,120544645.0,30,1629038016451.33,0.013903250151159896,0.1395242527866915,82.38,-0.0044813252492376335,278.74,-0.00010762138806088981,22.0,17.3
2024-05-15,122206451.0,30,1637000421161.56,0.004875889024189758,0.13940199678500254,82.75,-0.006264325990555606,278.63,-0.0003947108794092105,22.0,17.3
2024-05-16,62482039.0,30,1642045114535.87,0.00307693034417681,0.1382712305586581,83.27,-0.00849033500831933,278.41,-0.0007898894565510625,22.0,17.3
2024-05-17,83749804.0,30,1646710312262.13,0.0028370615932063943,0.13758593316629023,83.98,0.003220230584082398,278.41,-0.0007898894565510625,22.0,17.3
2024-05-20,58583728.0,30,1638507582432.7,-0.004993730789584863,0.1384422630898425,83.71,0.009964666160792016,278.39,0.0,22.0,17.3
2024-05-21,44312280.0,30,1641843374533.52,0.002033802659785828,0.1375626262349034,82.88,0.011894787652149146,278.14,-0.000898424224447744,22.0,17.3
2024-05-22,59368372.0,30,1637795197483.07,-0.002468673920905953,0.13559710194020705,81.9,0.006615239118719404,278.13,-3.595376346403103e-05,22.0,17.3
2024-05-23,59252905.0,30,1639888101765.53,0.0012770633254171443,0.13460449855611997,81.36,-0.009297840410428365,278.08,-0.00017978820997354187,22.0,17.3
2024-05-24,84048860.0,30,1662387328210.37,0.013626709868654387,0.12752420337896633,82.12,-0.011863109710669555,278.08,-0.00017978820997354187,22.0,17.3
2024-05-27,52979635.0,30,1651024699334.91,-0.006858593693003226,0.12823369559006859,83.1,-0.013387720872379242,278.04,-0.0001438538447419791,22.0,17.3
2024-05-29,63302108.0,30,1632437947743.63,-0.011321554177656986,0.13366085060189403,83.6,0.021033049026398878,277.95,-0.0002877801379621683,22.0,17.3
2024-05-30,51399276.0,30,1631313153850.1301,-0.0006892645321401458,0.13376515535293018,81.86,0.0029361410865971485,277.94,-3.597834104254195e-05,22.0,17.3
2024-05-31,59763852.0,30,1655468077856.64,0.014698488997260487,0.13917083754546172,81.62,0.0407607369013197,277.94,-3.597834104254195e-05,22.0,11.8
2024-06-03,58372968.0,30,1646528100945.51,-0.005414905573029218,0.1404843149962925,78.36,0.010777625493829336,277.92,0.00032388664250757634,22.0,11.8
2024-06-04,60260856.0,30,1626610246242.13,-0.012170643859399248,0.14228397180713642,77.52,-0.011415502660319776,277.93,3.5980930110801866e-05,22.0,11.8
2024-06-05,50913728.0,30,1617131961191.98,-0.005844059989989588,0.14180993184217222,78.41,-0.018448842686467095,277.93,0.0,22.0,11.8
2024-06-06,42820846.0,30,1611141844245.69,-0.003711038271139841,0.14229284901404746,79.87,0.0031349953571263457,277.95,7.195797657257783e-05,22.0,11.8
2024-06-07,97472710.0,30,1606069829261.75,-0.003153052830039717,0.13939568528554058,79.62,-0.024931523891093342,277.95,7.195797657257783e-05,22.0,11.8
